Store Type,# Store Nodes,# Concurrent Requests,Record Size (bytes),Num Records Generated,Write Records/s,Sigma Write Records/s,Write MB/s,Sigma Write MB/s,Read Records/s,Sigma Read Records/s,Reads MB/s,Sigma Reads MB/s
ETCD,1,1,128,512,5683.912,77.311,0.694,0.009,80445.725,6867.548,9.820,0.009
ETCD,1,1,256,512,5307.289,127.977,1.296,0.031,62053.987,3282.781,15.150,0.031
ETCD,1,1,512,512,4912.492,40.554,2.399,0.020,40851.892,926.441,19.947,0.020
ETCD,1,1,1024,512,4117.630,66.782,4.021,0.065,25414.798,207.993,24.819,0.065
ETCD,1,1,2048,512,3214.630,23.920,6.279,0.047,13676.657,203.308,26.712,0.047
ETCD,1,1,4096,512,2212.104,14.054,8.641,0.055,7235.313,68.875,28.263,0.055
ETCD,1,5,128,512,10801.395,588.776,1.319,0.072,87194.547,8436.428,10.644,0.072
ETCD,1,5,256,512,10288.789,328.576,2.512,0.080,68993.605,1220.011,16.844,0.080
ETCD,1,5,512,512,8650.645,66.753,4.224,0.033,44791.125,411.063,21.871,0.033
ETCD,1,5,1024,512,7402.014,239.503,7.229,0.234,24162.229,505.373,23.596,0.234
ETCD,1,5,2048,512,5400.265,135.864,10.547,0.265,13461.890,56.573,26.293,0.265
ETCD,1,5,4096,512,3551.126,62.152,13.872,0.243,7178.033,110.307,28.039,0.243
ETCD,1,10,128,512,11216.535,480.228,1.369,0.059,95306.483,2199.619,11.634,0.059
ETCD,1,10,256,512,10734.520,235.409,2.621,0.057,64565.376,6127.400,15.763,0.057
ETCD,1,10,512,512,9662.415,346.355,4.718,0.169,40187.047,2289.215,19.623,0.169
ETCD,1,10,1024,512,7438.012,226.852,7.264,0.222,23752.947,362.457,23.196,0.222
ETCD,1,10,2048,512,5436.678,113.612,10.619,0.222,13440.779,106.521,26.252,0.222
ETCD,1,10,4096,512,3468.792,88.631,13.550,0.346,7006.761,62.347,27.370,0.346
ETCD,1,15,128,512,11501.463,804.365,1.404,0.098,80339.333,8821.988,9.807,0.098
ETCD,1,15,256,512,10458.890,302.533,2.553,0.074,61904.653,7265.234,15.113,0.074
ETCD,1,15,512,512,9383.352,100.367,4.582,0.049,40577.663,1910.248,19.813,0.049
ETCD,1,15,1024,512,7367.406,339.683,7.195,0.332,24599.606,667.028,24.023,0.332
ETCD,1,15,2048,512,5351.419,96.811,10.452,0.189,13559.728,154.872,26.484,0.189
ETCD,1,15,4096,512,3531.151,70.395,13.794,0.275,7054.487,38.646,27.557,0.275
ETCD,1,20,128,512,10986.180,923.306,1.341,0.113,85573.736,15847.292,10.446,0.113
ETCD,1,20,256,512,10559.098,810.448,2.578,0.198,62286.521,933.774,15.207,0.198
ETCD,1,20,512,512,9165.729,412.654,4.475,0.201,42968.873,3173.219,20.981,0.201
ETCD,1,20,1024,512,7439.453,171.965,7.265,0.168,23304.468,701.361,22.758,0.168
ETCD,1,20,2048,512,5577.889,77.622,10.894,0.152,13170.467,256.989,25.724,0.152
ETCD,1,20,4096,512,3487.609,46.939,13.623,0.183,6931.917,61.091,27.078,0.183
ETCD,1,25,128,512,11171.305,1071.845,1.364,0.131,95616.595,2102.958,11.672,0.131
ETCD,1,25,256,512,9996.718,312.984,2.441,0.076,65076.165,8954.327,15.888,0.076
ETCD,1,25,512,512,9323.313,553.195,4.552,0.270,43208.866,2955.544,21.098,0.270
ETCD,1,25,1024,512,7367.937,251.674,7.195,0.246,24146.735,439.682,23.581,0.246
ETCD,1,25,2048,512,5283.818,109.876,10.320,0.215,13118.564,259.815,25.622,0.215
ETCD,1,25,4096,512,3446.706,103.205,13.464,0.403,6971.541,103.052,27.233,0.403
ETCD,1,30,128,512,10681.245,679.806,1.304,0.083,95773.264,3149.561,11.691,0.083
ETCD,1,30,256,512,9878.143,139.820,2.412,0.034,69891.504,785.215,17.063,0.034
ETCD,1,30,512,512,8629.948,263.483,4.214,0.129,43177.044,2912.719,21.083,0.129
ETCD,1,30,1024,512,7276.548,236.833,7.106,0.231,24270.749,895.280,23.702,0.231
ETCD,1,30,2048,512,5299.729,118.396,10.351,0.231,13403.452,223.062,26.179,0.231
ETCD,1,30,4096,512,3476.314,43.437,13.579,0.170,6963.677,38.475,27.202,0.170
ETCD,3,1,128,512,19.561,0.020,0.002,0.000,93064.621,5029.622,11.360,0.000
ETCD,3,1,256,512,19.582,0.024,0.005,0.000,61450.053,7743.043,15.002,0.000
ETCD,3,1,512,512,19.598,0.032,0.010,0.000,41819.896,3713.509,20.420,0.000
ETCD,3,1,1024,512,21.987,4.820,0.021,0.005,24625.559,1683.721,24.048,0.005
ETCD,3,1,2048,512,19.494,0.021,0.038,0.000,13385.603,205.071,26.144,0.000
ETCD,3,1,4096,512,19.356,0.007,0.076,0.000,7019.524,43.262,27.420,0.000
ETCD,3,5,128,512,96.629,0.408,0.012,0.000,93424.209,5143.910,11.404,0.000
ETCD,3,5,256,512,96.680,0.485,0.024,0.000,61265.167,8474.396,14.957,0.000
ETCD,3,5,512,512,96.026,0.070,0.047,0.000,42313.621,2508.434,20.661,0.000
ETCD,3,5,1024,512,95.522,0.069,0.093,0.000,23570.658,1143.944,23.018,0.000
